id,title,keywords,project,obsoletedBy,isPublic,dataUrl,abstract,attributeName,kingdom,phylum,class,order,family,genus,species,access
doi:10.18739/A23D1M,14C of soil CO2 from IPY ITEX Cross Site Comparison,"c(""EARTH SCIENCE > BIOSPHERE > ECOLOGICAL DYNAMICS > ECOSYSTEM FUNCTIONS > RESPIRATION RATE"", ""IN SITU/LABORATORY INSTRUMENTS > CHEMICAL METERS/ANALYZERS > CO2 ANALYZERS"", ""MANNED PERMANENT STATION"", ""MULTIPLE"", ""1 METER TO 30 METERS"", ""ANNUAL"", ""biota"")",NULL,NA,TRUE,https://cn.dataone.org/cn/v2/resolve/doi%3A10.18739%2FA23D1M,"Study sites: Toolik Lake Field Station Alaska, USA 68.63 N, 149.57 W; Atqasuk, Alaska USA 70.45 N, 157.40 W; Barrow, Alaska, USA 71.30 N, 156.67 W; Latnjajaure, Sweden 68.35 N, 18.50 E; Falls Creek, Australia: Site 2-unburned 36.90 S 147.29 E; Site 3-burned 36.89 S 147.28 E. Additional sites will be added summer 2008, but the exact sites are not finalized. Purpose: Collect soil carbon dioxide (CO2) for analysis of radiocarbon to evaluate the age of the carbon respired in controls and warmed plots from across the International Tundra Experiment (ITEX) network. Treatments: control and ITEX Open Top Chamber (OTC) warming experiment (1994-2007). Design: 5 replicates of each treatment at dry site and moist site. Sampling frequency: Once per peak season.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE
doi:10.5065/D66W985Q,"2003 Helo Survey CTD Data [Christensen, J. and H. Melling]","c(""CTD ocean cast"", ""Arctic"", ""Oceanography"")",NULL,NA,TRUE,https://cn.dataone.org/cn/v2/resolve/doi%3A10.5065%2FD66W985Q,"Early spring sampling was performed in the eastern area of the Shelf-Basin Interactions Project using aircraft. Flights began on 1 April 2003 and finished on 15 April. During this time, we sampled 42 sites (49 Conductivity, Temperature, Depth (CTD) casts) on a series of 5 transect lines which bracketed and were parallel to the SBI current meter mooring line located at 152 degrees W longitude. Stations were about 10 km apart along each transect line. Transect lines B, C, and D were at the same spacing; while, lines A and E were 20 km from the nearest transect line. A map of the achieved sampling sites is available (file: SW3LOC4A.pdf). Typically, 4-5 stations were sampled on each flying day. At each site, a Seabird CTD (either a SBE-19 or an SBE-25) and Satlantic ISUS nitrate analyzer with a water sampling bottle was deployed through an 8 inch hole augured through the pack-ice. Continuous profiles of pressure, temperature, salinity, and nitrate concentrations were made from the ice hole to either the sediment surface or to about 390 m. CTD data were processed with Seabird software (Seasoft) and the data binned into 0.5 dbar layers. Data herein are the vertical profiles of temperature, salinity, and density. Nutrient data are not reported here.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE
doi:10.5065/D6TD9VDN,"226Ra and 228Ra from SHEBA, Polar Star 2000 Expeditions (ASCII) [Kadko, D.]","c(""Ship"", ""Oceanography"", ""Arctic"")",NULL,NA,TRUE,https://cn.dataone.org/cn/v2/resolve/doi%3A10.5065%2FD6TD9VDN,"These data are from two different cruises, one the SHEBA cruise with data from 6/27/98 - 10/17/98, and the second a Polar Star Cruise during August of 2000. This dataset contains measurements of the water column activities of the naturally occuring isotopes 226Ra and 228Ra. Because 228Ra (T1/2= 5.77y) is derived through input from shelf sediments, it is an unambiguous marker of water that has been in contact with shelves. Its relative distribution in the shelf and basin water is therefore very valuable in assessing the degree of shelf-basin interaction. These data are in ASCII format.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE
doi:10.5065/D66971PX,"226Ra and 228Ra from SHEBA, Polar Star 2000 Expeditions (Excel) [Kadko, D.]","c(""Ship"", ""Oceanography"", ""Arctic"")",NULL,NA,TRUE,https://cn.dataone.org/cn/v2/resolve/doi%3A10.5065%2FD66971PX,"These data are from two different cruises, one the SHEBA cruise with data from 6/27/98 - 10/17/98, and the second a Polar Star Cruise during August of 2000. This dataset contains measurements of the water column activities of the naturally occuring isotopes 226Ra and 228Ra. Because 228Ra (T1/2= 5.77y) is derived through input from shelf sediments, it is an unambiguous marker of water that has been in contact with shelves. Its relative distribution in the shelf and basin water is therefore very valuable in assessing the degree of shelf-basin interaction. These data are in Excel format.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE
doi:10.6067:XCV8NP26KX_meta$v=1502743978294,A Curation-Needs Assessment at Select Facilities for the U.S. Air National Guard,"c(""Collections Research"", ""Heritage Management"")",NULL,NA,TRUE,https://cn.dataone.org/cn/v2/resolve/doi%3A10.6067%3AXCV8NP26KX_meta%24v%3D1502743978294,"The U.S. Air National Guard (ANG) is responsible for the management of archaeological and historical resources recovered from lands that it currently manages and leases. As mandated by federal law, responsible agencies are required to ensure that all recovered archaeological materials and associated records are adequately curated. ANG worked with the U.S. Army Corps of Engineers Mandatory Center of Expertise for the Curation and Management of Archaeological Collections in the St. Louis District (SLD) to conduct a curation-needs assessment of collections from ANG facilities in 19 states. This study will assist ANG in determining the volume of its collections and the current needs of the collections and facilities. In addition, it will enable ANG to establish a program to address these needs nationwide.

 In August 2008, ANG provided the U.S. Army Corps of Engineers, St. Louis District, with funds to  determine the locations of all ANG collections generated from facilities in Colorado, Idaho, Illinois, Kansas, Louisiana, Maryland, Massachusetts, Michigan, Mississippi, Missouri, Nevada, New Jersey, New York, Ohio, Oregon, Puerto Rico, South Carolina, West Virginia, and Wisconsin and perform site file searches at State Historic Preservation Offices (SHPO) and curation-needs assessments of archaeological collections to assist them in complying with the requirements outlined in 36 CFR Part 79. In addition, certain buildings holding ANG collections also were evaluated as to their ability to serve as adequate long-term curation facilities. The scope of work for Phase 2 outlined six tasks to be conducted by SLD.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA
doi:10.5063/F19C6VN5,"A Global Map of Human Impact on Marine Ecosystems, 2008",NULL,NULL,NA,TRUE,https://cn.dataone.org/cn/v2/resolve/doi%3A10.5063%2FF19C6VN5,"What happens in the vast stretches of the world's oceans - both wondrous and worrisome - has too often been out of sight, out of mind. The sea represents the last major scientific frontier on planet earth - a place where expeditions continue to discover not only new species, but even new phyla. The role of these species in the ecosystem, where they sit in the tree of life, and how they respond to environmental changes really do constitute mysteries of the deep. Despite technological advances that now allow people to access, exploit or affect nearly all parts of the ocean, we still understand very little of the ocean's biodiversity and how it is changing under our influence. The goal of the research presented here is to estimate and visualize, for the first time, the global impact humans are having on the ocean's ecosystems. Our analysis, published in Science, February 15, 2008 (http://doi.org/10.1126/science.1149345), shows that over 40% of the world's oceans are heavily affected by human activities and few if any areas remain untouched.  The top level of this dataset contains the raster data for the modeled impacts map, along with a high resolution jpg version. Sub-levels of this dataset include: raw stressor data, transformed stressor data (raw data is log(x+1) transformed and rescaled by dividing by maximum global value so values range from 0-1), and ecosystem data. All spatial data are projected in WGS 1984 Mollweide.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE
doi:10.6067:XCV8FX7CMQ_meta$v=1532972877826,A Pilot Examination for Curation Partnership Implementation for the Department of Defense,"c(""Collections Research"", ""Heritage Management"")",NULL,NA,TRUE,https://cn.dataone.org/cn/v2/resolve/doi%3A10.6067%3AXCV8FX7CMQ_meta%24v%3D1532972877826,"Since the 1906 Antiquities Act, several major laws and regulations have directed the land-managing agencies of the federal government to appropriately house and preserve archaeological materials recovered from federal lands or by federally-funded projects for long-term public benefit. The Department of Defense armed services—including the U.S. Army, U.S. Navy and Marines, and the U.S. Air Force—manage a significant number of archaeological collections and are therefore subject to these laws and regulations. In particular, 36 CFR Part 79, Curation of Federally-Owned and Administered Archeological Collections (1991) lays out standards for curating and housing federal archaeological collections. 
Unfortunately, over approximately the last 50 years, while archaeological investigations were conducted under federal statutes, the recovered materials and associated documentation (which together form archaeological collections) have not been well managed. In fact, a recently completed national inventory of DoD archaeological collections (Anderson 2000, Felix 2000) has determined that the objects and records are highly decentralized, are rarely adequately cared for, and are generally not actively managed. This is a significant management problem when volume of these collections is considered. 
The national inventory concluded that DoD archaeological collections represent over 19,000 cubic feet of artifacts, and 2,600 linear feet of associated documentation. The report also noted that these collections were stored at over 450 repositories nationwide, including museums, universities, contract firms, federal agency offices, military installations, private and public archaeological societies, and even individual storage facilities and residences. With this level of decentralization and with few concerted management efforts, proper curation to federal standards has rarely been attained for DoD archaeological collections.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA
doi:10.6067:XCV8V9891H_meta$v=1402609190125,"A Review of the River Basin Surveys, Smithsonian Institution Museum of Natural History for the Ad Hoc Advisory Committee","c(""Woodland"", ""Plains Village"", ""Middle Missouri Tradition"", ""Methodology, Theory, or Synthesis"", ""Historic Background Research"", ""Heritage Management"", ""LA Roche Site"", ""Black Partizan Site"", ""Two Teeth Site"", ""Molstad Village"", ""Fire Heart Creek Site"", ""Chapelle Creek Site"", ""Pony Creek Archeology"", ""Cheyenne River Project"", ""Okanogan Project"", ""Okanogon Valley Project"", ""Middle James Project"", ""Crow Prehistory Project"", ""Blue Mountains Project"", ""Durkin and King Sites"", ""Keyhole and Angostura Reservoirs"", 
""Handbook of Specimen Processing"", ""The Grand Detour Phase"", ""Cattle Oiler and Ketchen Sites"", ""Cul-de-Sac Archeology"", ""Upper Yellowtail Reservoir"", ""Arikara Archeology in the Phillips Ranch Locality"", ""Hitcheli Site"", ""Hells Canyon Archeology"")",NULL,NA,TRUE,https://cn.dataone.org/cn/v2/resolve/doi%3A10.6067%3AXCV8V9891H_meta%24v%3D1402609190125,"This report was prepared for the ""Ad Hoc Advisory Committee"" that reviewed the River Basin Surveys program of the Museum of Natural History, Smithsonian Institution in 1968.  The report includes background information about the program and suggests additional activities that the program might undertake in the future.  The River Basin Surveys was organized within the Smithsonian Institution in the fall of 1945 as a unit of the Bureau of American Ethnology. Its purpose was to carry out archeological investigations in areas to be flooded by the construction of  reservoirs by the Federal Government.

The River Basin Surveys program performed investigations, including field work, analysis, and publication of results, to rescue or salvage archaeological sites and data that would otherwise have been destroyed by the construction of public reservoirs. The program was administered as part of the archaeological work done by the Smithsonian Institution in close coordination with the National Park Service. Over the years the program developed procedures for operations.  However, beyond the rescue or salvage of archaeological data, more general goals were not described explicitly.

During the early years of the program, the River Basin Surveys pursued a literal interpretation of its mission, i. e., excavation of endangered sites within reservoirs (ideally to achieve a sample of 10%). This, of course, was proper in the context of program uncertainty and the limited objectives that prevailed at the time. Cultural complexes in the Columbia and Middle Missouri areas were so little known that the excavation of any archeological site might be justified.  In its later years the River Basin Surveys attempted to orient its work so as to illuminate a number of major research problems identified in Middle Missouri archeology.  It did not always succeed in this objective because the organization was tied to construction schedules in reservoir areas and had to react rather than initiate new research studies.  As the status of the program changed within the Smithsonian, this report was part of an effort to review possible changes for the program. Information in this report, assembled and written by program staff, describes the program, appraises its capabilities and suggests alternatives for the future.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA
doi:10.5063/F1M043RN,A fine-tuned global distribution dataset of marine forests,"c(""kelp"", ""seagrass"", ""marine forests"", ""biodiversity"")",NULL,NA,TRUE,https://cn.dataone.org/cn/v2/resolve/doi%3A10.5063%2FF1M043RN,"Species distribution records are a prerequisite to follow climate-induced range shifts across space and time. However, synthesizing information from various sources such as peer-reviewed literature, herbaria, digital repositories and citizen science initiatives is not only costly and time consuming, but also challenging, as data may contain thematic and taxonomic errors and generally lack standardized formats. We address this gap for important marine ecosystem-structuring species of large brown algae and seagrasses. We gathered distribution records from various sources and provide a fine-tuned dataset with ~2.8 million dereplicated records, taxonomically standardized for 682 species, and considering important physiological and biogeographical traits. Specifically, a flagging system was implemented to sign potentially incorrect records reported on land, in regions with limiting light conditions for photosynthesis, and outside the known distribution of species, as inferred from the most recent published literature. The dataset is provided in tabular format based on Darwin Core Standard (DwC). Please cite: Assis J., Fragkopoulou E., Frade D., Neiva J., Oliveira A., Abecasis D., Faugeron S., Serrão E.A. (2020). A fine-tuned global distribution dataset of marine forests. Scientific Data",NULL,NULL,NULL,NULL,"c(""Fucales"", ""Laminariales"", ""Tilopteridales"")","c(""Cymodoceaceae"", ""Hydrocharitaceae"", ""Posidoniaceae"", ""Zosteraceae"")",NULL,NULL,FALSE
doi:10.5063/F1VQ3157,"A global catalog of digital assets for monitoring biodiversity, 1965 - 2024","c(""biodiversity"", ""monitoring"", ""automation"", ""conservation technology"")",NULL,NA,TRUE,https://cn.dataone.org/cn/v2/resolve/doi%3A10.5063%2FF1VQ3157,"The current landscape of biodiversity assessments predominantly requires time-intensive and costly field surveys that rarely match the pace of monitoring needs for conservation. Automated biodiversity monitoring could increase the speed and accuracy at which information on species and ecosystems is gathered, yet the extent of existing monitoring with these “digital assets” is not well characterized or leveraged. Here, we present a catalog of existing digital assets for monitoring living organisms globally, documenting what they monitor and other key attributes of the data to facilitate use of existing assets. To be included as a digital asset, potential monitoring data must meet several criteria: appropriate scope, instrumentation, repeatability, adequate spatial coverage, and accessibility. Only assets that monitor living organisms are included, though data on humans are not included. This data catalog could help accelerate conservation efforts by making relevant biodiversity data more accessible.",NULL,"c(""Animalia"", ""Plantae"", ""Chromista"", ""Fungi"", ""Bacteria"")",NULL,NULL,NULL,NULL,NULL,NULL,FALSE
doi:10.5063/F12F7KVF,A global inventory of animal biodiversity measured in different grazing treatments,"c(""graze"", ""disturbance"", ""domestic grazers"", ""exclosure"", ""global"", ""herbivory"", ""land use"", ""agriculture"", ""rangelands"", ""biodiversity"", ""food security"")",A global inventory of animal biodiversity measured in different grazing treatments,NA,TRUE,https://cn.dataone.org/cn/v2/resolve/doi%3A10.5063%2FF12F7KVF,"Rangelands occupy more than half of terrestrial land cover and much of these lands are used for domestic grazing. Patterns of domestic grazing have been shifting recently, becoming more common in areas such as Brazil, Mexico, and South-East Asia. These are also correspond with some of biodiversity hotspots of the world. The effects of domestic grazing on biodiversity can be complex. Moreover, there is a important component of food security to be considered with changing grazing patterns. While there has been recent work quantifying the effects of domestic grazing on carbon emissions and plant composition, there has yet to be a detailed synthesis of grazing effects on animal diversity. Using a systematic review of the literature, we generated a database inventorying animal biodiversity in lands with domestic grazing, wild grazers, and without grazing. Information provided includes species-specific responses to grazing, measurements of grazing intensity (e.g., animals per hectare, biomass removed), grazer species, and geospatial coordinates. Our hopes is that this database could be used for sustainable grazing practices.","c(""SurveyTechnique"", ""SurveyType"", ""UniqueID"", ""HigherTaxon"", ""Kingdom"", ""Phylum"", ""Class"", ""Order"", ""Family"", ""Genus"", ""Species"", ""SiteID"", ""Year"", ""Timeframe"", ""Replicate"", ""GrazingLevel"", ""GrazingEstimate"", ""GrazingValue"", ""Estimate"", ""Statistic"", ""Value"", ""Title"", ""Authors"", ""SourceTitle"", ""PublicationYear"", ""GrazerSpecies"", ""GrazerStatus"", ""LastGrazingEvent"", ""StudyDuration"", ""Latitude"", ""Longitude"", ""Elevation"", ""Country"", ""NSites"", ""WildGrazerSpecies"", ""DomesticatedGrazerSpecies"", ""PlantCommunity"", 
""EcosystemClass"", ""Fenced"", ""Tilled"", ""Herbivores"", ""Fertilization"", ""Fire"", ""Ownership"", ""YearInitiated"", ""YearFinished"", ""uniqueID"", ""Source Title"", ""Publication Year"", ""Est.Simplified"", ""Est.Reduced"", ""grazing.estimate"", ""grazing.est.simplified"", ""grazing.est.reduced"", ""Notes"")",NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE
doi:10.5063/F1S180S8,A systematic review of green infrastructure effects on urban ecosystems,"c(""green infrastructure"", ""green roof"", ""urban ecology"", ""community gardens"", ""green wall"", ""urban ecosystems"", ""conservation"")",NULL,NA,TRUE,https://cn.dataone.org/cn/v2/resolve/doi%3A10.5063%2FF1S180S8,"Global urbanization continues unabated, with more than 50% of the worlds’ population living in cities. Cities are conventionally viewed as a threat to local biodiversity because natural habitat is replaced with development. However, more recently, there is greater acknowledgement from the public and private sectors that supporting local environments sustains critical ecosystem services, which in turn improves human health and biodiversity conservation. Consequently, urban planning and design has shifted towards green infrastructure (GI), such as green roofs and retention ponds, to increase connections between city and nature in an era of climate change. The contribution of GI to some ecosystem services has been proven (e.g. stormwater management, building cooling), but the contribution to biodiversity conservation remains unspecified. Using a systematic literature review, this dataset is an aggregation of studies that have measured community composition of urban ecosystems in association with green infrastructures.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE
doi:10.5063/F1862DXT,ARTIS input data and model,"c(""Seafood"", ""Aquatic food"", ""Trade"", ""Globalization"", ""Supply chain"", ""Traceability"")",ARTIS input data and model,NA,TRUE,https://cn.dataone.org/cn/v2/resolve/doi%3A10.5063%2FF1862DXT,"This code base contains a folder of raw data inputs, cleaned data inputs, and all code for running the Aquatic Resource Trade in Species (ARTIS) model on a local computer or AWS. This corresponds with Github release ARTIS-model v1.0 (https://github.com/Seafood-Globalization-Lab/artis-model/releases/tag/v1.0).  Full methods details available in the ARTIS manual: https://seafood-globalization-lab.github.io/artis-manual/",NULL,Animalia,NULL,NULL,NULL,NULL,NULL,NULL,FALSE
doi:10.18739/A2736M32D,"All clean datasets that were submitted by March 15 from the Boulder Workshop, 2001",Arctic,NULL,NA,TRUE,https://cn.dataone.org/cn/v2/resolve/doi%3A10.18739%2FA2736M32D,"This dataset contains all of the clean datasets that were submitted by March 15 from the Boulder Workshop, 2001. Note: upon ordering this data, all of the data files will be included.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE
doi:10.5063/F15X272V,"Alpine pollinators unique species list for Pink Mountain, BC, Canada","c(""alpine"", ""pollinators"", ""diversity"", ""ecotone"", ""british columbia"", ""canada"", ""osmia"")",NULL,NA,TRUE,https://cn.dataone.org/cn/v2/resolve/doi%3A10.5063%2FF15X272V,"Two protocols were used to assess pollinator diversity at the Pink Mountain site in BC, Canada. This was part of the NSTP program and CANPOLIN.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE
doi:10.6067:XCV8HX1FVC_meta$v=1502737137083,"An Assessment of Potential Curation Facilities at the Hanford Site, Department of Energy","c(""Collections Research"", ""Heritage Management"")",NULL,NA,TRUE,https://cn.dataone.org/cn/v2/resolve/doi%3A10.6067%3AXCV8HX1FVC_meta%24v%3D1502737137083,"In March and June 2000, St. Louis District personnel examined ten facilities that are located on the Hanford Nuclear Test Site in order to determine their potential as curation repositories for Hanford Cultural Resources. The facilities examined ranged from abandoned buildings associated with the NIKE missile complex to nuclear research reactors. All buildings would require substantial rehabilitation to comply with existing regulations for the curation and management of cultural resources (36 CFR Part 79).",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE
doi:10.6067:XCV8VT1V6W_meta$v=1494454119938,"An Evaluation of Geophysical Survey Instruments for Detecting Unmarked Graves at the Mission Cemetery, Spalding, Idaho","c(""Nez Perce"", ""Ground Disturbance Monitoring"", ""Geophysical Survey"", ""Mission Cemetery"", ""Funerary and Burial Structures or Features"", ""Cemetery"", ""Unmarked Graves"", ""Soil Resistance Meter"", ""Fluxgate Magnetometer"", ""Conductivity Meter"")",NULL,NA,TRUE,https://cn.dataone.org/cn/v2/resolve/doi%3A10.6067%3AXCV8VT1V6W_meta%24v%3D1494454119938,"In December 2000, a team working for the Midwest Archeological Center and Nez Perce National Historical Park evaluated the suitability of geophysical survey instruments for mapping the location of unmarked graves in the Mission Cemetery at Spalding, Idaho. A small grid was examined with a fluxgate magnetometer, a soil resistance meter, a conductivity meter, and a ground-penetrating radar unit. All but the conductivity meter detected positive anomalies in association with marked historic graves in the test grid. A more extensive use of the conductivity meter might also have yielded positive results. The ground-penetrating radar and magnetometer produced the best results, and additional work was accomplished with the ground-penetrating radar. Several graves that were not marked with stone monuments were confirmed, and the locations of these burial sites were recorded by personnel from Nez Perce National Historical Park. Selected areas outside the cemetery enclosure were examined to ensure that efforts to control pedestrian traffic would not impact graves.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE
doi:10.18739/A2R49G96H,An open source framework for metadata exploration and discovery of Polar Data,PCI,An open source framework for metadata exploration and discovery of Polar Data,NA,TRUE,https://cn.dataone.org/cn/v2/resolve/doi%3A10.18739%2FA2R49G96H,"This project will deliver an open source framework for metadata exploration, automatic text mining and information retrieval of polar data that uses the Apache Tika technology. Apache Tika is currently the de facto ""babel fish"", aiding in the automatic MIME detection, text extraction, and metadata classification of over 1200 data formats. The PI will expand Tika to handle polar data and scientific data formats, making Polar data more easily available, searchable, and retrievable by all major content management systems. The proposed activity will lay the framework for a thorough automatically generated inventory of polar metadata and data. Expanding Tika to handle polar data will also naturally invite the technology/open source community to deal with polar use cases, helping to increase understanding of the arctic. The resultant software produced through effort will be disseminated to the software and polar communities through the Apache Software Foundation. A computer science graduate student and postdoc will be exposed to Cryosphere and Arctic data, helping to train the next generation of cross disciplinary data scientists in the domain. The PI's Search Engines (20-40 students annual enrollment) and Software Architecture (30-50 students annual enrollment) graduate courses at USC will benefit from the Arctic cyberinfrastructure use cases disseminated through course projects and lecture material. The PI will also work collaboratively with NSF-funded projects dealing with projects focusing on the archiving, discovery and access of polar data, such as ACADIS and the Antarctic Master Directory.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE
doi:10.18739/A2ZW18V0Q,An updatable and comprehensive global cargo maritime network and strategic seaborne cargo routing model for global containerized and bulk vessel flow estimation 2021,"c(""Global cargo shipping"", ""Maritime networks"", ""Trade"", ""Liner shipping"", ""Bulk shipping"", ""Trade routes"")",NNA Track 1: Arctic impacts and reverberations of expanding global maritime trade routes,NA,TRUE,https://cn.dataone.org/cn/v2/resolve/doi%3A10.18739%2FA2ZW18V0Q,"The global maritime system provides the backbone of logistics operations for global supply chains and international trade. This paper aims to develop a unifying global network representation and strategic, system-wide decision model, the Strategic Cargo Routing Model, incorporating both liner and bulk shipping markets to estimate real-world traffic flows and study traffic patterns at the global scale. Specifically, taking a shipper's perspective, containerized and bulk movements are jointly modelled within a mixed-integer linear program that includes inbound, outbound, and transshipment cargo flows at ports. An iterative approach that combines heuristic Gradient Descent and Relax-and-Fix Decomposition methods is proposed for the calibration and solution of the Strategic Cargo Routing Model over a proposed joint liner and bulk services Global Cargo Shipping Network representation. The Global Cargo Shipping Network contains 161 seaports covering 52 countries. It is created from updatable, publicly available, data sources, and all data needed for the network representation are made available. Sufficient network details, as well as data sources and methods for extracting needed inputs, are given to allow others to use and update the network. Using the developed maritime network, mathematical model and calibration-solution methodology, 2018 global maritime traffic flow patterns were estimated. The estimates were found to achieve a 91% fit overall to real-world average annual port throughputs. This strategic model provides support to evaluate future, real-world, worldwide changes, such as increased seaborne trade demand, new routes, shipping infrastructure expansion, and transport policies.  * In the data subnetwork X=(0, 1, 2) refers to containerized cargo, liquid bulk and dry bulk respectively. for example, flowX shows flows in subnetworks of X=(0, 1, 2) accordingly. portThrouX.csv shows port throughputs in subnetworks of X=(0, 1, 2) accordingly.  **In the uploaded data, the files starting with input... means they are inputs for the model, and other files are outputs.  **Note that the uploaded materials can be used based on the uploaded paper ""Wenjie Li, Ralph Pundt and Elise Miller-Hooks. (2021). An updatable and comprehensive global cargo maritime network and strategic seaborne cargo routing model for global containerized and bulk vessel flow estimation 2021.""","c(""Port name"", ""Throughput"", ""ID"", ""Result"", ""id"", ""cargo type"", ""leg_id"", ""Start"", ""End"", ""Route"", ""cost_id"", ""vessel_type"", ""subnet"", ""transit_number"", ""pair_id"", ""origin"", ""destination"", ""type"", ""weight"", ""port_id"", ""handling (1000 $)"", ""capacity"", ""largestv"", ""through"", ""name"", ""route_id"", ""distance"", ""subnetwork"", ""market"", ""transit_id"", ""route"", ""number"", ""vessel_type_id"", ""shipping cost rate ($/1000ton/nm)"", ""draft"")",NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE
doi:10.5063/F1CZ35N7,Aquatic Resource Trade in Species (ARTIS),"c(""Seafood"", ""Aquatic food"", ""Trade"", ""Globalization"", ""Supply chain"", ""Traceability"")",Aquatic Resource Trade in Species (ARTIS),NA,TRUE,https://cn.dataone.org/cn/v2/resolve/doi%3A10.5063%2FF1CZ35N7,"Food systems have become increasingly globalized, with over a quarter of all food now traded internationally. Seafood is among the most highly traded foods and it is becoming increasingly globalized, with trade doubling in recent decades. At the same time, seafood is now widely recognized as a critical source of nutrition. Thus, social and environmental threats to local seafood production, including environmental extremes, price impacts of market integration, networked risks, and increased availability of processed foods, must be evaluated in the context of global trade. These issues are paralleled by similar questions for other natural resources and are central to global food systems research. However, our collective understanding of the environmental and human outcomes of food system globalization is limited by a fundamental gap between production and trade data. We bridge this gap in the Aquatic Resource Trade in Species (ARTIS) database by providing the first global estimates of seafood species and nutrient trade flows from 1996–2020.  Full methods details available in the ARTIS manual: https://seafood-globalization-lab.github.io/artis-manual/","c(""source_country_iso3c"", ""exporter_iso3c"", ""importer_iso3c"", ""hs6"", ""sciname"", ""habitat"", ""method"", ""dom_source"", ""product_weight_t"", ""live_weight_t"", ""year"", ""consumer_iso3c"", ""consumption_type"", ""sciname_hs_modified"", ""consumption_live_t"", ""original_consumption_live_t"")",Animalia,NULL,NULL,NULL,NULL,NULL,NULL,FALSE
doi:10.5063/F1PR7TG3,"Arthropod communities associated with mountain pine beetles, Dendroctonus ponderosae, in Banff National Park, Canada","c(""Pinus contorta"", ""Dendroctonus ponderosae"", ""bark beetles"", ""Alberta"", ""arthropod communities"", ""forestry"")","Arthropod communities associated with bark beetles in SW Alberta, Canada",NA,TRUE,https://cn.dataone.org/cn/v2/resolve/doi%3A10.5063%2FF1PR7TG3,"These data identify the arthropods that emerged from the bole of lodgepole pine trees, Pinus contorta var. latifolia, one year after the trees were colonized by mountain pine beetles (MPB), Dendroctonus ponderosae, in Banff National Park, Canada. Data were collected from seven sites for up to 10 trees per site.  The study location and context are described by Trzcinski and Reid (2008. Forest Ecology and Management. doi:10.1016/j.foreco.2008.07.003).","c(""site"", ""zone"", ""mean_longitude"", ""mean_latitude"", ""siteID"", ""log"", ""Subphylum"", ""Order"", ""Family"", ""Subfamily"", ""Genus"", ""Species"", ""Abundance"", ""longitude"", ""latitude"", ""dbh_cm"", ""attack_den"", ""age"", ""growth_5avg_mm"", ""growth_10avg_mm"", ""log_length_cm"", ""area_m2"", ""mpb_exit_holes_s1"", ""mpb_exit_holes_s2"", ""other_exit_holes_s1"", ""other_exit_holes_s2"", ""bait"", ""burn"", ""mpb_m2"", ""mean_phloem_mm"")",NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE
